inst_filia_str,n_apariciones,pct,pct_acum,nombre_canonico,sigla,departamento_sede,naturaleza,estado
ALCALDIA DE MEDELLIN,14,0.02,91.78,,,,,pendiente_revision
CORPORACION DE CIENCIA Y TECNOLOGIA PARA EL DESARROLLO DE LA INDUSTRIA NAVAL MARITIMA Y FLUVIAL COTECMAR,14,0.02,91.8,,,,,pendiente_revision
UNIVERSIDAD DE BOGOTA JORGE TADEO LOZANO SECCIONAL DEL CARIBE (UNIVERSIDAD JORGE TADEO LOZANO),14,0.02,91.82,,,,,pendiente_revision
PROCURADURIA GENERAL DE LA NACION,14,0.02,91.84,,,,,pendiente_revision
UNIVERSIDADE ESTADUAL DE CAMPINAS,14,0.02,91.86,,,,,pendiente_revision
FUERZA AEREA COLOMBIANA,14,0.02,91.88,,,,,pendiente_revision
FUNDACION UNIVERSITARIA EMPRESARIAL DE LA CAMARA DE COMERCIO DE BOGOTA UNIEMPRESARIAL,14,0.02,91.9,,,,,pendiente_revision
CENTRO DE CONTROL DE CANCER LTDA,14,0.02,91.92,,,,,pendiente_revision
HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ ESE,14,0.02,91.94,,,,,pendiente_revision
FUNDACION UNIVERSITARIA MONSERRATE,14,0.02,91.96,,,,,pendiente_revision
UNIVERSIDAD DE SANTANDER CAMPUS CUCUTA (UNIVERSIDAD DE SANTANDER),14,0.02,91.98,,,,,pendiente_revision
ESCUELA TECNOLOGICA INSTITUTO TECNICO CENTRAL,14,0.02,92.0,,,,,pendiente_revision
UNIVERSIDAD DE ANTIOQUIA SEDE CARMEN DE VIBORAL (UNIVERSIDAD DE ANTIOQUIA),13,0.019,92.02,,,,,pendiente_revision
CENTRO INTERNACIONAL DE FISICA CIF,13,0.019,92.04,,,,,pendiente_revision
CENTRO REGIONAL DE GESTION PARA LA PRODUCTIVIDAD Y LA INNOVACION DE BOYACA CREPIB,13,0.019,92.06,,,,,pendiente_revision
FUNDACION OFTALMOLOGICA NACIONAL,13,0.019,92.07,,,,,pendiente_revision
CENTRO DE INVESTIGACION Y DESARROLLO TECNOLOGICO DE LA INDUSTRIA ELECTRO ELECTRONICA Y TIC,13,0.019,92.09,,,,,pendiente_revision
CAJA DE COMPENSACION FAMILIAR DE RISARALDA,13,0.019,92.11,,,,,pendiente_revision
SERVICIO NACIONAL DE APRENDIZAJE REGIONAL ANTIOQUIA (SERVICIO NACIONAL DE APRENDIZAJE SENA),13,0.019,92.13,,,,,pendiente_revision
ESCUELA DE ADMINISTRACION Y MERCADOTECNIA DEL QUINDIO,13,0.019,92.15,,,,,pendiente_revision
PURDUE UNIVERSITY,13,0.019,92.17,,,,,pendiente_revision
HOSPITAL SIMON BOLIVAR III NIVEL E S E,13,0.019,92.19,,,,,pendiente_revision
ORGANIZACION SANITAS INTERNACIONAL,13,0.019,92.21,,,,,pendiente_revision
UNIVERSIDAD NACIONAL DE COLOMBIA SEDE CARIBE (UNIVERSIDAD NACIONAL DE COLOMBIA),13,0.019,92.23,,,,,pendiente_revision
OBSERVATORIO DEL CARIBE COLOMBIANO,13,0.019,92.25,,,,,pendiente_revision
CORPORACION UNIVERSITARIA UNITEC,13,0.019,92.26,,,,,pendiente_revision
INSTITUTO PARA LA EVALUACION DE LA CALIDAD Y ATENCION EN SALUD IECAS,13,0.019,92.28,,,,,pendiente_revision
ECOPETROL S A,13,0.019,92.3,,,,,pendiente_revision
COLEGIATURA COLOMBIANA INSTITUCION UNIVERSITARIA,13,0.019,92.32,,,,,pendiente_revision
COLOMBIANA DE TRASPLANTES,13,0.019,92.34,,,,,pendiente_revision
VEDAS CORPORACION DE INVESTIGACION E INNOVACION,13,0.019,92.36,,,,,pendiente_revision
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,12,0.018,92.38,,,,,pendiente_revision
UNIVERSIDAD CARLOS III DE MADRID,12,0.018,92.4,,,,,pendiente_revision
INSTITUTO COLOMBIANO PARA LA EVALUACION DE LA EDUCACION,12,0.018,92.41,,,,,pendiente_revision
INSTITUTO DE INVESTIGACIONES AMBIENTALES DEL PACIFICO,12,0.018,92.43,,,,,pendiente_revision
UNIVERSIDAD ANTONIO NARINO POPAYAN (UNIVERSIDAD ANTONIO NARINO),12,0.018,92.45,,,,,pendiente_revision
HOSPITAL DEPARTAMENTAL UNIVERSITARIO DEL QUINDIO SAN JUAN DE DIOS,12,0.018,92.47,,,,,pendiente_revision
ASOCIACION COLOMBIANA PARA EL AVANCE DE LA CIENCIA ACAC,12,0.018,92.49,,,,,pendiente_revision
INSTITUCION PRESTADORA DE SERVICIOS DE SALUD UNIVERSIDAD DE ANTIOQUIA I P S UNIVERSITARIA,12,0.018,92.5,,,,,pendiente_revision
FUND COLOMBIANA PARA LA INVESTIGACION Y CONSERVACION DE TIBURONES Y RAYAS,12,0.018,92.52,,,,,pendiente_revision
CLINICA DE OFTALMOLOGIA DE CALI S A,12,0.018,92.54,,,,,pendiente_revision
FUNDACION UNIVERSITARIA UNITROPICO SEDE YOPAL,12,0.018,92.56,,,,,pendiente_revision
CEMENTOS ARGOS SA,12,0.018,92.58,,,,,pendiente_revision
UNIVERSIDAD COOPERATIVA DE COLOMBIA BUCARAMANGA (UNIVERSIDAD COOPERATIVA DE COLOMBIA),12,0.018,92.59,,,,,pendiente_revision
INSTITUTO DE INVESTIGACIONES INMUNOLOGICAS DE LA UNIVERSIDAD DE CARTAGENA,12,0.018,92.61,,,,,pendiente_revision
UNIVERSIDAD COMPLUTENSE DE MADRID,11,0.016,92.63,,,,,pendiente_revision
CORPORACION REGION,11,0.016,92.64,,,,,pendiente_revision
ESCUELA DE ADMINISTRACION DE NEGOCIOS E A N (UNIVERSIDAD EAN),11,0.016,92.66,,,,,pendiente_revision
ESCUELA MILITAR DE AVIACION MARCO FIDEL SUAREZ EMAVI,11,0.016,92.68,,,,,pendiente_revision
CLINICA MEDELLIN,11,0.016,92.69,,,,,pendiente_revision
FUNDACION UNIVERSITARIA CIEO UNICIEO,11,0.016,92.71,,,,,pendiente_revision
FUNDACION OMACHA 6502,11,0.016,92.72,,,,,pendiente_revision
CORPORACION GEOLOGICA ARES,11,0.016,92.74,,,,,pendiente_revision
UNIVERSIDAD ANTONIO NARINO BARRANQUILLA (UNIVERSIDAD ANTONIO NARINO),11,0.016,92.76,,,,,pendiente_revision
NEW STETIC S A,11,0.016,92.77,,,,,pendiente_revision
CLINICA OFTALMOLOGICA DEL CARIBE SAS,11,0.016,92.79,,,,,pendiente_revision
FUNDACION DE ESTUDIOS SUPERIORES COMFANORTE,11,0.016,92.8,,,,,pendiente_revision
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,11,0.016,92.82,,,,,pendiente_revision
UNIVERSIDAD DEL VALLE SEDE PALMIRA (UNIVERSIDAD DEL VALLE),10,0.015,92.83,,,,,pendiente_revision
UNIVERSIDAD ANTONIO NARINO BUCARAMANGA (UNIVERSIDAD ANTONIO NARINO),10,0.015,92.85,,,,,pendiente_revision
KAROLINSKA INSTITUTET,10,0.015,92.86,,,,,pendiente_revision
CORPORACION INSTITUTO LATINOAMERICANO DE ALTOS ESTUDIOS,10,0.015,92.88,,,,,pendiente_revision
UNIVERSIDAD SANTO TOMAS MEDELLIN (UNIVERSIDAD SANTO TOMAS),10,0.015,92.89,,,,,pendiente_revision
SERVICIO NACIONAL DE APRENDIZAJE SENA SEDE MOSQUERA (SERVICIO NACIONAL DE APRENDIZAJE SENA),10,0.015,92.91,,,,,pendiente_revision
COMPANIA NACIONAL DE CHOCOLATES SAS,10,0.015,92.92,,,,,pendiente_revision
INSTITUTO COLOMBIANO DE NEUROPEDAGOGIA,10,0.015,92.94,,,,,pendiente_revision
SELVA INVESTIGACION PARA LA CONSERVACION EN EL NEOTROPICO,10,0.015,92.95,,,,,pendiente_revision
HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,10,0.015,92.97,,,,,pendiente_revision
PROYECTO DE CONSERVACION DE AGUAS Y TIERRAS,10,0.015,92.98,,,,,pendiente_revision
FUNDACION CENTRO DE INVESTIGACION EN MODELACION EMPRESARIAL DEL CARIBE,10,0.015,93.0,,,,,pendiente_revision
SERVICIO NACIONAL DE APRENDIZAJE SENA REGIONAL GUAJIRA (SERVICIO NACIONAL DE APRENDIZAJE SENA),10,0.015,93.01,,,,,pendiente_revision
CORPORACION ESCUELA DE ARTES Y LETRAS INSTITUCION UNIVERSITARIA,10,0.015,93.03,,,,,pendiente_revision
DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA (ALCALDIA DISTRITAL DE BARRANQUILLA),10,0.015,93.04,,,,,pendiente_revision
FUNDACION IDEAL PARA LA REHABILITACION INTEGRAL JULIO H CALONJE,10,0.015,93.06,,,,,pendiente_revision
EJERCITO NACIONAL DE COLOMBIA DIRECCION DE SANIDAD,10,0.015,93.07,,,,,pendiente_revision
POLICIA NACIONAL DE COLOMBIA,10,0.015,93.09,,,,,pendiente_revision
ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA ESAP,10,0.015,93.1,,,,,pendiente_revision
CLINICA LAS AMERICAS,10,0.015,93.12,,,,,pendiente_revision
CENTRO CARDIOVASCULAR COLOMBIANO CLINICA SANTA MARIA,10,0.015,93.13,,,,,pendiente_revision
FUNDACION PARA LA EDUCACION SUPERIOR Y EL DESARROLLO FEDESARROLLO,9,0.013,93.15,,,,,pendiente_revision
ASOCIACION DE BANANEROS DE COLOMBIA (CENTRO DE INVESTIGACIONES DEL BANANO CENIBANANO),9,0.013,93.16,,,,,pendiente_revision
HARVARD UNIVERSITY,9,0.013,93.17,,,,,pendiente_revision
CENTRO NACIONAL DE CONSULTORIA,9,0.013,93.19,,,,,pendiente_revision
INSTITUTO PARA LA INVESTIGACION EDUCATIVA Y EL DESARROLLO PEDAGOGICO,9,0.013,93.2,,,,,pendiente_revision
CENTRO DE DESARROLLO TECNOLOGICO DE ASISTENCIA TECNICA A LA INDUSTRIA SENA ASTIN (SERVICIO NACIONAL DE APRENDIZAJE SENA),9,0.013,93.21,,,,,pendiente_revision
FUNDACION PROMIGAS,9,0.013,93.23,,,,,pendiente_revision
DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADISTICA DANE,9,0.013,93.24,,,,,pendiente_revision
INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY ITESM,9,0.013,93.25,,,,,pendiente_revision
MALOKA CENTRO INTERACTIVO DE CIENCIA Y TECNOLOGIA,9,0.013,93.26,,,,,pendiente_revision
CORPORACION INDUSTRIAL MINUTO DE DIOS,9,0.013,93.28,,,,,pendiente_revision
UNIVERSIDADE FEDERAL DE MINAS GERAIS,9,0.013,93.29,,,,,pendiente_revision
INSTITUTO ROOSEVELT,9,0.013,93.3,,,,,pendiente_revision
FUNDACION DE EDUCACION SUPERIOR SAN JOSE,9,0.013,93.32,,,,,pendiente_revision
HOSPITAL INFANTIL NAPOLEON FRANCO PAREJA,9,0.013,93.33,,,,,pendiente_revision
ONE SOLUTION POSITION,9,0.013,93.34,,,,,pendiente_revision
INSTITUTO TECNICO AGRICOLA,9,0.013,93.36,,,,,pendiente_revision
CONICET,9,0.013,93.37,,,,,pendiente_revision
UNIVERSIDAD SANTIAGO DE CALI SEDE PRINCIPAL (UNIVERSIDAD SANTIAGO DE CALI),9,0.013,93.38,,,,,pendiente_revision
MINISTERIO DE SALUD Y PROTECCION SOCIAL,9,0.013,93.39,,,,,pendiente_revision
NANOMAT SAS,9,0.013,93.41,,,,,pendiente_revision
CENTRO DE INVESTIGACIONES UNIVERSIDAD MANUELA BELTRAN C I U M B,9,0.013,93.42,,,,,pendiente_revision
UNIVERSIDAD NACIONAL DE COLOMBIA SEDE MANIZALES,9,0.013,93.43,,,,,pendiente_revision
UNIVERSIDAD DE BOGOTA JORGE TADEO LOZANO (UNIVERSIDAD JORGE TADEO LOZANO),9,0.013,93.45,,,,,pendiente_revision
CENTRO DE BIOTECNOLOGIA INDUSTRIAL SENA (SERVICIO NACIONAL DE APRENDIZAJE SENA),9,0.013,93.46,,,,,pendiente_revision
COLCAFE SAS,9,0.013,93.47,,,,,pendiente_revision
UNIVERSIDAD COOPERATIVA DE COLOMBIA CAMPUS BOGOTA (UNIVERSIDAD COOPERATIVA DE COLOMBIA),9,0.013,93.49,,,,,pendiente_revision
UNIVERSITY OF ILLINOIS,8,0.012,93.5,,,,,pendiente_revision
JOHNS HOPKINS UNIVERSITY,8,0.012,93.51,,,,,pendiente_revision
UNIVERSITAT ROVIRA I VIRGILI,8,0.012,93.52,,,,,pendiente_revision
CORNELL UNIVERSITY DYSON SCHOOL OF APPLIED ECONOMICS AND MANAGEMENT,8,0.012,93.53,,,,,pendiente_revision
BIOTECNOLOGIA Y GENETICA S A,8,0.012,93.55,,,,,pendiente_revision
FUNDACION NATURA COLOMBIA,8,0.012,93.56,,,,,pendiente_revision
CENTRO DE ESTUDIOS EN PROTECCION SOCIAL Y ECONOMIA DE LA SALUD,8,0.012,93.57,,,,,pendiente_revision
CORPORACION PARA LA INVESTIGACION Y DESARROLLO EN ASFALTOS EN EL SECTOR TRANSPORTE E INDUSTRIAL CORASFALTOS,8,0.012,93.58,,,,,pendiente_revision
UNIVERSIDAD NACIONAL DE COLOMBIA SEDE ARAUCA (UNIVERSIDAD NACIONAL DE COLOMBIA),8,0.012,93.59,,,,,pendiente_revision
CENTRO DE LA CIENCIA Y LA INVESTIGACION FARMACEUTICA,8,0.012,93.61,,,,,pendiente_revision
CORPORACION HOSPITALARIA JUAN CIUDAD,8,0.012,93.62,,,,,pendiente_revision
INSTITUTO COLOMBIANO AGROPECUARIO ICA,8,0.012,93.63,,,,,pendiente_revision
CLINICA UNIVERSIDAD DE LA SABANA,8,0.012,93.64,,,,,pendiente_revision
MISION VERDE AMAZONIA CORPORACION PARA EL DESARROLLO SOSTENIBLE Y MITIGACION DE CAMBIO CLIMATICO,8,0.012,93.65,,,,,pendiente_revision
SERVICIO NACIONAL DE APRENDIZAJE REGIONAL BOLIVAR SENA (SERVICIO NACIONAL DE APRENDIZAJE SENA),8,0.012,93.67,,,,,pendiente_revision
HOSPITAL UNIVERSITARIO HERNANDO MONCALEANO PERDOMO,8,0.012,93.68,,,,,pendiente_revision
FUNDACION CSTAR SCIENCE TEHNOLOGY ADVANCED RESEARCH,8,0.012,93.69,,,,,pendiente_revision
UNIVERSITY OF PITTSBURGH,8,0.012,93.7,,,,,pendiente_revision
GRUPO ZAMBRANO S A S,8,0.012,93.71,,,,,pendiente_revision
CLINICA UNIVERSITARIA COLOMBIA,8,0.012,93.73,,,,,pendiente_revision
ALZAK FOUNDATION,8,0.012,93.74,,,,,pendiente_revision
CORPORACIÓN COLOMBIANA DE INVESTIGACIÓN AGROPECUARIA AGROSAVIA CENTRO DE INVESTIGACIÓN TIBAITATÁ (CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA AGROSAVIA),8,0.012,93.75,,,,,pendiente_revision
COLEGIO MAYOR DE BOLIVAR,8,0.012,93.76,,,,,pendiente_revision
TALLER CINCO CENTRO DE DISENO,8,0.012,93.77,,,,,pendiente_revision
UNIVERSIDAD DE GUADALAJARA,8,0.012,93.79,,,,,pendiente_revision
UNIVERSIDAD NACIONAL DE COLOMBIA SEDE PALMIRA,8,0.012,93.8,,,,,pendiente_revision
BANCO DE LA REPUBLICA BOGOTA,7,0.01,93.81,,,,,pendiente_revision
CORPORACION PARQUE EXPLORA,7,0.01,93.82,,,,,pendiente_revision
ALCALDIA MAYOR DE BOGOTA,7,0.01,93.83,,,,,pendiente_revision
SOCIEDAD COLOMBIANA DE FISICA,7,0.01,93.84,,,,,pendiente_revision
INSTITUTO VALLECAUCANO DE INVESTIGACIONES CIENTIFICAS INCIVA (INSTITUTO PARA LA INVESTIGACION Y PRESERVACION DEL PATRIMONIO CULTURAL Y NATURAL DEL VALLE DEL CAUCA),7,0.01,93.85,,,,,pendiente_revision
CAMARA DE COMERCIO DE BOGOTA,7,0.01,93.86,,,,,pendiente_revision
INSTITUTO DE EPILEPSIA Y PARKINSON DEL EJE CAFETERO SA,7,0.01,93.87,,,,,pendiente_revision
FUNDACION PARA LA INVESTIGACION Y EL DESARROLLO SOSTENIBLE,7,0.01,93.88,,,,,pendiente_revision
UNIVERSIDAD POLITECNICA DE VALENCIA INTERNACIONAL,7,0.01,93.89,,,,,pendiente_revision
CENTRO NACIONAL DE INVESTIGACIONES PARA LA AGROINDUSTRIALIZACION DE ESPECIES VEGETALES AROMATICAS Y MEDICINALES TROPICALES,7,0.01,93.9,,,,,pendiente_revision
SECRETARIA DE EDUCACION DISTRITO CAPITAL (ALCALDIA MAYOR DE BOGOTA),7,0.01,93.91,,,,,pendiente_revision
UNIVERSIDAD DE MURCIA,7,0.01,93.92,,,,,pendiente_revision
GRUPO DE INVESTIGACION Y EDITORIAL KAVILANDO,7,0.01,93.93,,,,,pendiente_revision
UNIVERSIDAD DE VIGO,7,0.01,93.94,,,,,pendiente_revision
GEORGIA INSTITUTE OF TECHNOLOGY,7,0.01,93.95,,,,,pendiente_revision
FUNDACION JARDIN BOTANICO JOAQUIN ANTONIO URIBE COD ANTIGUO 2107,7,0.01,93.96,,,,,pendiente_revision
UNIVERSIDAD NACIONAL DE COLOMBIA SEDE NARINO (UNIVERSIDAD NACIONAL DE COLOMBIA),7,0.01,93.97,,,,,pendiente_revision
UNIVERSIDAD DE ZARAGOZA,7,0.01,93.98,,,,,pendiente_revision
CORPORACION INSTITUTO ANTIOQUENO DE INVESTIGACION,7,0.01,93.99,,,,,pendiente_revision
LOGYCAINVESTIGACION,7,0.01,94.0,,,,,pendiente_revision
UNIVERSIDAD DE GRANADA,7,0.01,94.01,,,,,pendiente_revision
INDUSTRIAS TECSOL LTDA,7,0.01,94.02,,,,,pendiente_revision
FUNDACION ESCUELA TECNOLOGICA DE NEIVA JESUS OVIEDO PEREZ,7,0.01,94.03,,,,,pendiente_revision
UNIVERSIDAD ANTONIO NARINO ARMENIA (UNIVERSIDAD ANTONIO NARINO),7,0.01,94.04,,,,,pendiente_revision
CEDIUL SA,7,0.01,94.05,,,,,pendiente_revision
FUNDACION UNIVERSITARIA BELLAS ARTES,7,0.01,94.06,,,,,pendiente_revision
CORPORACION MAVI,7,0.01,94.07,,,,,pendiente_revision
INSTITUTO DE PROGRAMACION Y SISTEMAS DEL NORTE S A S,7,0.01,94.08,,,,,pendiente_revision
PROGRAMA DE ESTUDIO Y CONTROL DE ENFERMEDADES TROPICALES,7,0.01,94.09,,,,,pendiente_revision
UNIVERSIDAD LIBRE SEDE BOGOTA (UNIVERSIDAD LIBRE DE COLOMBIA),7,0.01,94.1,,,,,pendiente_revision
SECRETARIA DISTRITAL DE SALUD,7,0.01,94.11,,,,,pendiente_revision
SUB RED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE ESE,7,0.01,94.12,,,,,pendiente_revision
UNIVERSIDAD SUR COLOMBIANA DE NEIVA (UNIVERSIDAD SURCOLOMBIANA),7,0.01,94.13,,,,,pendiente_revision
UNIVERSIDAD SAN BUENAVENTURA CALI,7,0.01,94.14,,,,,pendiente_revision
UNIVERSITAT DE VALENCIA,7,0.01,94.15,,,,,pendiente_revision
HOSPITAL SAN JOSE (SOCIEDAD DE CIRUGIA DE BOGOTA HOSPITAL DE SAN JOSE),7,0.01,94.16,,,,,pendiente_revision
CORPORACION UNIVERSITARIA MINUTO DE DIOS (CORPORACION UNIVERSITARIA MINUTO DE DIOS UNIMINUTO),7,0.01,94.17,,,,,pendiente_revision
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,7,0.01,94.18,,,,,pendiente_revision
PUNTO ESTRATEGICO RED DE CONSULTORES SAS,7,0.01,94.19,,,,,pendiente_revision
CLINICA RAFAEL URIBE URIBE ISS,6,0.009,94.2,,,,,pendiente_revision
CENTRO DE INVESTIGACION CIENTIFICA CAUCASECO LTDA,6,0.009,94.21,,,,,pendiente_revision
FUNDACION CANGURO,6,0.009,94.21,,,,,pendiente_revision
ACADEMIA NACIONAL DE MEDICINA,6,0.009,94.22,,,,,pendiente_revision
ASOCIACION COLOMBIANA DE FISIOTERAPIA ASCOFI,6,0.009,94.23,,,,,pendiente_revision
ASOCIACION COLOMBIANA DE INGENIEROS ELECTRICISTAS MECANICOS Y ELECTRONICOS ACIEM,6,0.009,94.24,,,,,pendiente_revision
ASOCIACION COLOMBIANA DE INFECTOLOGIA,6,0.009,94.25,,,,,pendiente_revision
CORPORACION AUTONOMA REGIONAL DE CUNDINAMARCA,6,0.009,94.26,,,,,pendiente_revision
FUNDACION UNIVERSITARIA CLARETIANA,6,0.009,94.27,,,,,pendiente_revision
UNIVERSIDAD POLITECNICA DE MADRID,6,0.009,94.28,,,,,pendiente_revision
INSTITUCION UNIVERSITARIA COLOMBO AMERICANA,6,0.009,94.29,,,,,pendiente_revision
HOSPITAL SANTA CLARA E S E,6,0.009,94.3,,,,,pendiente_revision
ASOCIACION COLOMBIANA DE PORCICULTORES,6,0.009,94.3,,,,,pendiente_revision
CENTRO DE INVESTIGACION DE LAS TELECOMUNICACIONES CINTEL,6,0.009,94.31,,,,,pendiente_revision
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD SEDE PASTO (UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA),6,0.009,94.32,,,,,pendiente_revision
COLMEDICA MEDICINA PREPAGADA S A,6,0.009,94.33,,,,,pendiente_revision
UNIVERSIDAD FEDERAL DE RIO DE JANEIRO UFRJ,6,0.009,94.34,,,,,pendiente_revision
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,6,0.009,94.35,,,,,pendiente_revision
SOLLA SA,6,0.009,94.36,,,,,pendiente_revision
INSTITUTO DE ESTUDIOS DEL MINISTERIO PUBLICO,6,0.009,94.37,,,,,pendiente_revision
TEAM INGENIERIA DE CONOCIMIENTO LTDA,6,0.009,94.38,,,,,pendiente_revision
UNIVERSITY OF GRONINGEN,6,0.009,94.39,,,,,pendiente_revision
RENSSELAER POLYTECHNIC INSTITUTE,6,0.009,94.39,,,,,pendiente_revision
INNOVACION Y COMPETITIVIDAD SAS,6,0.009,94.4,,,,,pendiente_revision
ESCUELA NAVAL DE SUBOFICIALES ARC BARRANQUILLA,6,0.009,94.41,,,,,pendiente_revision
INSTITUCION UNIVERSITARIA ESCOLME,6,0.009,94.42,,,,,pendiente_revision
EMPRESA COLOMBIANA DE PRODUCTOS VETERINARIOS,6,0.009,94.43,,,,,pendiente_revision
CONSTRUCTORA CONCONCRETO S A,6,0.009,94.44,,,,,pendiente_revision
FISCALIA GENERAL DE LA NACION,6,0.009,94.45,,,,,pendiente_revision
