ID_PERSONA_PR,ANO_CONVO_INT,inst_a,inst_b
216291,2019,CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA AGROSAVIA,UNIVERSIDAD MILITAR NUEVA GRANADA
217212,2019,COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO,FUNDACION CARDIOINFANTIL INSTITUTO DE CARDIOLOGIA
218235,2019,FUNDACION CUANGARE,UNIVERSIDAD DE ANTIOQUIA
219975,2019,COMPANIA GENERAL DE ACEROS S A,RESEARCH FOR TALENT
221996,2019,UNIVERSIDAD NACIONAL DE COLOMBIA,UNIVERSIDAD POLITECNICA DE MADRID
222291,2019,UNIVERSIDAD DE LOS ANDES,UNIVERSIDAD NACIONAL DE COLOMBIA
224766,2019,UNIVERSIDAD DE CARTAGENA,UNIVERSIDAD DE SAN BUENAVENTURA
226742,2019,TECHNISCHE UNIVERSITAT DRESDEN INSTITUTE OF FOOD TECHNOLOGY AND BIOPROCESS,UNIVERSIDAD DE ANTIOQUIA
230022,2019,CENTRO DE INVESTIGACION Y DESARROLLO TECNOLOGICO PARA LA INDUSTRIA ELECTRON,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS
236837,2019,PONTIFICIA UNIVERSIDAD JAVERIANA,RED IBEROAMERICANA DE INDICADORES DE CIENCIAS Y TECNOLOGIA RICYT
237710,2019,INTEGRAL S A INGENIERIA TECNICA GENERAL S A INGENIEROS CONSULTORES,UNIVERSIDAD NACIONAL DE COLOMBIA
238058,2019,FUNDACION UNIVERSIDAD DEL NORTE,UNIVERSIDAD DE LA FONTERA
238473,2019,SMURFIT KAPPA,UNIVERSIDAD NACIONAL DE COLOMBIA
238708,2019,ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS,PONTIFICIA UNIVERSIDAD JAVERIANA
238848,2019,UNIVERSIDAD AUTONOMA DE BARCELONA,UNIVERSIDAD DEL ATLANTICO
240095,2019,JUNTA REGIONAL DE CALIFICACION DE INVALIDEZ REGIONAL NARINO,UNIVERSIDAD MARIANA UNIMAR
241202,2019,FUNDACION UNIVERSIDAD DEL NORTE,UNIVERSIDAD NACIONAL DE COLOMBIA
241393,2019,PONTIFICIA UNIVERSIDAD JAVERIANA,RED IBEROAMERICANA DE INDICADORES DE CIENCIAS Y TECNOLOGIA RICYT
241920,2019,UNIVERSIDAD DE SUCRE,UNIVERSIDAD DEL VALLE
244040,2019,FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA CENTRO NACIONAL DE INVESTIGACIONES DE CAFE CENICAFE,UNIVERSIDAD DE CALDAS
245089,2019,TESLAB GEO AMBIENTAL,UNIVERSIDAD ANTONIO NARINO
247910,2019,UNIVERSIDAD DE LOS ANDES,UNIVERSIDAD INDUSTRIAL DE SANTANDER
249475,2019,UNIVERSIDAD AUTONOMA DE MANIZALES,UNIVERSIDAD DEL VALLE
252662,2019,FUNDACION INSTITUTO DE ESTUDIOS POLITICOS Y RELACIONES INTERNACIONALES AMIGOS DEL IEPRI,UNIVERSIDAD EXTERNADO DE COLOMBIA
257400,2019,UNIVERSIDAD EAFIT,UNIVERSIDAD EIA
264164,2019,PONTIFICIA UNIVERSIDAD JAVERIANA,UNIVERSIDAD EL BOSQUE
265624,2019,SECRETARIA DISTRITAL DE SALUD DE BOGOTA,UNIVERSIDAD MANUELA BELTRAN
265683,2019,CLINICA BAUTISTA,UNIVERSIDAD SIMON BOLIVAR
272310,2019,UNIVERSIDAD INDUSTRIAL DE SANTANDER,UNIVERSIDAD TECNOLOGICA DE PEREIRA
277266,2019,UNIVERSIDAD DE MANIZALES UMANIZALES,UNIVERSIDAD DE MEDELLIN
277487,2019,FUNDACION INSTITUTO NEUROLOGICO DE COLOMBIA,UNIVERSIDAD DE SAN BUENAVENTURA
278572,2019,UNIVERSIDAD ANTONIO NARINO,UNIVERSIDAD DE SANTANDER
279200,2019,ASOCIACION COLOMBIANA PARA EL AVANCE DE LA CIENCIA ACAC,MINISTERIO DE CIENCIA TECNOLOGIA E INNOVACION
285323,2019,PONTIFICIA UNIVERSIDAD JAVERIANA,UNIVERSIDAD ECCI
286516,2019,COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO,UNIVERSIDAD DE ANTIOQUIA
299197,2019,UNIVERSIDAD DE ANTIOQUIA,UNIVERSIDAD POPULAR DEL CESAR
301221,2019,UNIVERSIDAD DE ANTIOQUIA,UNIVERSIDAD PONTIFICIA BOLIVARIANA
