nombre_canonico,sigla,naturaleza,sedes_registradas,departamentos,apariciones_totales,variantes_inst_filia
Universidad Autónoma Latinoamericana,UNAULA,privada,1,Antioquia,115,1
Instituto Amazónico de Investigaciones Científicas SINCHI,SINCHI,publica,1,Amazonas,106,1
Fundación Universitaria Juan de Castellanos,JDC,privada,1,Boyacá,100,1
Fundación Cardiovascular de Colombia,FCV,privada,1,Santander,100,1
Universidad Tecnológica del Chocó,UTCH,publica,1,Chocó,94,1
Universidad CESMAG,CESMAG,privada,1,Nariño,92,1
Universidad de Investigación y Desarrollo,UDI,privada,1,Santander,89,1
Hospital Pablo Tobón Uribe,HPTU,privada,1,Antioquia,85,1
Servicio Geológico Colombiano,SGC,publica,1,Bogotá D.C.,83,1
Fundación Universitaria Agraria de Colombia,UNIAGRARIA,privada,1,Bogotá D.C.,79,1
Corporación para Investigaciones Biológicas,CIB,privada,1,Antioquia,75,1
Escuela Superior de Administración Pública,ESAP,publica,1,Bogotá D.C.,75,2
Fundación Universidad de América,UAmérica,privada,1,Bogotá D.C.,71,1
Ministerio de Educación Nacional,MEN,publica,1,Bogotá D.C.,71,1
Hospital Militar Central,HMC,publica,1,Bogotá D.C.,71,1
Corporación Universitaria Republicana,URepublicana,privada,1,Bogotá D.C.,69,1
Fundación Universitaria María Cano,FUMC,privada,1,Antioquia,69,1
Institución Universitaria de Envigado,IUE,publica,1,Antioquia,69,1
Centro Internacional de Agricultura Tropical,CIAT,mixta,1,Valle del Cauca,67,1
Escuela Nacional del Deporte,END,publica,1,Valle del Cauca,65,1
Centro de Investigación en Palma de Aceite,Cenipalma,mixta,1,Bogotá D.C.,64,1
Universitaria Agustiniana,Uniagustiniana,privada,1,Bogotá D.C.,64,1
Instituto Universitario de La Paz,UNIPAZ,publica,1,Santander,61,1
"Ministerio de Ciencia, Tecnología e Innovación",MinCiencias,publica,1,Bogotá D.C.,60,1
Dirección Nacional de Escuelas - Policía Nacional,DINAE,publica,1,Bogotá D.C.,58,1
Colegio Mayor de Antioquia,Colmayor,publica,1,Antioquia,58,1
Instituto Colombiano del Petróleo - Ecopetrol,ICP,mixta,1,Santander,56,1
Corporación Unificada de Educación Superior,CUN,privada,1,Bogotá D.C.,54,1
Centro Internacional de Entrenamiento e Investigaciones Médicas,CIDEIM,privada,1,Valle del Cauca,52,1
Fundación Universitaria San Martín,FUSM,privada,1,Bogotá D.C.,52,1
Centro Internacional de Educación y Desarrollo Humano,CINDE,privada,1,Caldas,51,1
Escuela Naval de Cadetes Almirante Padilla,ENAP,publica,1,Bolívar,51,1
